"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","Sepal.Ratio","Sepal.Length.Category"
"1",5.1,3.5,1.4,0.2,"setosa",1.45714285714286,"Short"
"2",4.9,3,1.4,0.2,"setosa",1.63333333333333,"Short"
"3",4.7,3.2,1.3,0.2,"setosa",1.46875,"Short"
"4",4.6,3.1,1.5,0.2,"setosa",1.48387096774194,"Short"
"5",5,3.6,1.4,0.2,"setosa",1.38888888888889,"Short"
"6",5.4,3.9,1.7,0.4,"setosa",1.38461538461538,"Short"
"7",4.6,3.4,1.4,0.3,"setosa",1.35294117647059,"Short"
"8",5,3.4,1.5,0.2,"setosa",1.47058823529412,"Short"
"9",4.4,2.9,1.4,0.2,"setosa",1.51724137931034,"Short"
"10",4.9,3.1,1.5,0.1,"setosa",1.58064516129032,"Short"
"11",5.4,3.7,1.5,0.2,"setosa",1.45945945945946,"Short"
"12",4.8,3.4,1.6,0.2,"setosa",1.41176470588235,"Short"
"13",4.8,3,1.4,0.1,"setosa",1.6,"Short"
"14",5.85571428571429,3,1.1,0.1,"setosa",1.43333333333333,"Short"
"15",5.8,4,1.2,0.2,"setosa",1.45,"Medium"
"16",5.7,4.4,1.5,0.4,"setosa",1.29545454545455,"Medium"
"17",5.4,3.9,1.3,0.4,"setosa",1.38461538461538,"Short"
"18",5.1,3.5,1.4,0.3,"setosa",1.45714285714286,"Short"
"19",5.7,3.8,1.7,0.3,"setosa",1.5,"Medium"
"20",5.1,3.8,1.5,0.3,"setosa",1.34210526315789,"Short"
"21",5.4,3.4,1.7,0.2,"setosa",1.58823529411765,"Short"
"22",5.1,3.7,1.5,0.4,"setosa",1.37837837837838,"Short"
"23",4.6,3.6,1,0.2,"setosa",1.27777777777778,"Short"
"24",5.1,3.3,1.7,0.5,"setosa",1.54545454545455,"Short"
"25",4.8,3.4,1.9,0.2,"setosa",1.41176470588235,"Short"
"26",5,3,1.6,0.2,"setosa",1.66666666666667,"Short"
"27",5,3.4,1.6,0.4,"setosa",1.47058823529412,"Short"
"28",5.2,3.5,1.5,0.2,"setosa",1.48571428571429,"Short"
"29",5.2,3.4,1.4,0.2,"setosa",1.52941176470588,"Short"
"30",4.7,3.2,1.6,0.2,"setosa",1.46875,"Short"
"31",4.8,3.1,1.6,0.2,"setosa",1.54838709677419,"Short"
"32",5.4,3.4,1.5,0.4,"setosa",1.58823529411765,"Short"
"33",5.2,4.1,1.5,0.1,"setosa",1.26829268292683,"Short"
"34",5.5,4.2,1.4,0.2,"setosa",1.30952380952381,"Short"
"35",4.9,3.1,1.5,0.2,"setosa",1.58064516129032,"Short"
"36",5,3.2,1.2,0.2,"setosa",1.5625,"Short"
"37",5.5,3.5,1.3,0.2,"setosa",1.57142857142857,"Short"
"38",4.9,3.6,1.4,0.1,"setosa",1.36111111111111,"Short"
