"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year","bill_flipper_ratio"
"1","Adelie","Torgersen",39.1,18.7,181,3750,"male",2007,0.216022099447514
"2","Adelie","Torgersen",39.5,17.4,186,3800,"female",2007,0.212365591397849
"3","Adelie","Torgersen",40.3,18,195,3250,"female",2007,0.206666666666667
"4","Adelie","Torgersen",NA,NA,NA,4207,NA,2007,NA
"5","Adelie","Torgersen",36.7,19.3,193,3450,"female",2007,0.190155440414508
"6","Adelie","Torgersen",39.3,20.6,190,3650,"male",2007,0.206842105263158
"7","Adelie","Torgersen",38.9,17.8,181,3625,"female",2007,0.214917127071823
"8","Adelie","Torgersen",39.2,19.6,195,4675,"male",2007,0.201025641025641
"9","Adelie","Torgersen",34.1,18.1,193,3475,NA,2007,0.176683937823834
"10","Adelie","Torgersen",42,20.2,190,4250,NA,2007,0.221052631578947
"11","Adelie","Torgersen",37.8,17.1,186,3300,NA,2007,0.203225806451613
"12","Adelie","Torgersen",37.8,17.3,180,3700,NA,2007,0.21
"13","Adelie","Torgersen",41.1,17.6,182,3200,"female",2007,0.225824175824176
"14","Adelie","Torgersen",38.6,21.2,191,3800,"male",2007,0.202094240837696
"15","Adelie","Torgersen",34.6,21.1,198,4400,"male",2007,0.174747474747475
"16","Adelie","Torgersen",36.6,17.8,185,3700,"female",2007,0.197837837837838
"17","Adelie","Torgersen",38.7,19,195,3450,"female",2007,0.198461538461538
"18","Adelie","Torgersen",42.5,20.7,197,4500,"male",2007,0.215736040609137
"19","Adelie","Torgersen",34.4,18.4,184,3325,"female",2007,0.18695652173913
"20","Adelie","Torgersen",46,21.5,194,4200,"male",2007,0.237113402061856
"21","Adelie","Biscoe",37.8,18.3,174,3400,"female",2007,0.217241379310345
"22","Adelie","Biscoe",37.7,18.7,180,3600,"male",2007,0.209444444444444
"23","Adelie","Biscoe",35.9,19.2,189,3800,"female",2007,0.18994708994709
"24","Adelie","Biscoe",38.2,18.1,185,3950,"male",2007,0.206486486486487
"25","Adelie","Biscoe",38.8,17.2,180,3800,"male",2007,0.215555555555556
"26","Adelie","Biscoe",35.3,18.9,187,3800,"female",2007,0.188770053475936
"27","Adelie","Biscoe",40.6,18.6,183,3550,"male",2007,0.221857923497268
"28","Adelie","Biscoe",40.5,17.9,187,3200,"female",2007,0.216577540106952
